用户,是否看过,评分,评论时间,有用数,评论
掉线,看过,还行,2019-11-12 17:20:23,393,【C】“复古”的像一个出土文物，希望伊丽莎白班克斯早日放弃编剧与导演事业，梗比迈克尔贝写的都难笑
惘然,看过,还行,2019-11-12 18:17:46,255,"也只有美国人敢这样写，情节反转反转再反转，好人坏人好人坏人好人坏……
#电影中有玲姐的惊鸿一瞥#"
甄甏甏,看过,还行,2019-11-12 15:19:30,267,比想象的好看哎，小K也tm太美了，无论是金发大胸还是短发飒爽的造型都好适合她5555；看之前不看好黑人小姐姐，片子里面维密天使一样的身材直接让我说真香；相比之下茉莉虽然很可爱，比前两位就稍微逊色点儿了。
西楼尘,看过,还行,2019-11-12 22:31:56,99,天使的衣帽间除了华服高跟，还有枪支迷药。既能装扮马桶头，也能驾驭晚礼服，既能高空跳伞，又能骑马追车，既能破解缠斗杀手的招式，也能深埋并肩战友的追思。如此才敢淡定说出，男人昨天还在说爱你，今天就会想要杀了你的心得体悟。预知了门口即将被电死的保安，并不打算上前拯救，浑身是甜蜜的危险。
鹿鹿酱 ♪,看过,力荐,2019-11-15 14:42:10,71,这两年越来越多女性电影啦，真的每一部都是女性爽片！长得又好看身材又好，衣服和妆容都好漂亮，又能打又聪明，我都会爱上！电影好多熟面孔啊！！女子监狱的美容师也在！哈哈哈哈
YthguaN,看过,还行,2019-11-05 21:22:02,92,视听效果还是很不错的 美女养眼动作利落 我A掌权制作的原声带是超大亮点 但剧情方面来说就是完全没有剧情 最后所谓的女权宣言意淫更是莫名其妙 槽点太多 总体评价大概进厅两分钟后就可以直接睡觉了
乌鸦火堂,看过,推荐,2019-11-14 19:38:14,232,3.5星，肉眼可见的“好看”。果然女导演最适合这类作品，而且拍得真美真飒！放弃打女路线而是谍影重重范儿，更不是如老版让天使当“工具人”，是真正的让女性角色完成男性的职能，这处好评。只是故事陈旧，毫无出彩，过场转折用歌来凑。所以包装方面下足了功夫，天使造型多变，超级养眼，尤其舞会上的跳舞，美不胜收。A妹的主题歌太好听！小K不错，但我最爱“茉莉”。
倪克斯,看过,还行,2019-11-14 13:33:45,51,姐妹开心爆米花电影 以及说没有亚裔的…Naomi印度裔算亚了 所以其实只是更zzzq而已 虽然她的脸完全white passing
Lanita,看过,还行,2019-11-15 14:26:17,37,我这个feminist看的尴尬死了，无聊的故事还漏洞百出，主打women power结果只有光鲜靓丽的外表。同类电影被讽政治正确，女权被妖魔化，这些不走心的人要负一部分责任。另外，那些质疑亚裔却鄙视黑人的快别双标了，都是有色人种露怯了不是？
Stiles,看过,较差,2019-11-15 12:37:21,478,上周看帅哥空战，这周看美女特工，看得我弯来直去的真累。
影志,看过,还行,2019-12-21 03:24:25,11,穿粉衣骑马的小K太帅，还是个表情包。有个小男主，简直法鲨附体…最后的天使荟萃、男士倒地，倒是过瘾。“喜欢电影的人不分年龄”
无耻不混蛋,看过,推荐,2019-11-13 11:40:56,171,每个时代，可能需要的是适合每个时代的“霹雳娇娃”。预期不高，看完，第一时间想说的是：咦，居然还挺好看的啊。并且，可以负责任的说，这是一部无论男女观众看完，都会觉得爽的大爽片。而且这一部，最让我惊喜的是，影片除了时尚、轻松、好笑、好看的“生理爽感”之外，还顺带在结尾部分，营造出“每个女人都是娇娃”、“都是查理的天使”的“心理爽感”。
桃桃林林,看过,还行,2019-11-21 07:56:08,15,大概能理解这部电影为什么叫时装动作片了。另外，本以为最吸引我的是小K，不过看过之后反而对埃拉·巴林斯卡印象最深，一个个子很高的黑人美女。
匡匡,看过,还行,2019-11-15 21:24:06,21,漫长。难看。
徐若风,看过,推荐,2019-11-14 12:35:35,60,比预期好，观感“轻松+愉悦”的时尚动作喜剧，编排了不少有趣的地方。继承老版精髓的同时，又做了新时代的新表达。小K、娜奥米、埃拉，三个角色在外貌、性格人设上都截然不同，在负责美貌的同时又充满活力。
sam,看过,推荐,2019-11-12 21:08:07,35,悬念和剧情都中规中矩，不过看小k疯狂换装真的蛮爽的，而且在面瘫之外居然还有鬼脸和四肢协调的热舞，完全是从土豆泥一下子上升到豪华全家桶啊！动作戏不多求，但喜剧性很强，虽然大都是卖萌嘴炮。不过对#片名完全不想看系列#来说，真的是很好了。结尾看得出是刻意拔高女性高光，但全员助攻也太蠢了吧。
what'swilliam,看过,还行,2019-11-15 20:02:07,24,3星。华而不实花里胡哨。1.说句政治不正确的话，长发的“贝拉”很美很性感，短发的她实在太“攻”了，略接受无能。2.全片很像成龙逢年过节的6分商业贺岁动作片，全球可哪啪啪走，就像肯德基麦当劳的新品，颜值看着挺高，吃起来emmm。3.莫名其妙的调情，女主莫名其妙的成长，计划都莫名其妙的儿戏，还有莫名其妙的女权，反转也很无聊。4.说到女杀手还是日常想念刘玉玲和Maggie Q。5.男配都是熟脸，新版有致敬老版的段落，我好像眼花了，最后看到了黛米摩尔？6.Donna Summer的disco很好听。
凌睿,看过,较差,2019-11-15 17:26:19,309,"导演是不是以为女性英雄打败男性反派就是女权电影？你是不是对女权有什么误解？
女权是勇敢表达你的观点，而不是屈服于领导的命令。
是内在的自信和觉醒，而不是简单的打个架、杀个人。
仍然是老掉牙的“抓内鬼”的剧情，而且还和《黑衣人：全球追缉》撞剧情了，刚开始以为A是内鬼，后来才发现B才是内鬼，没有任何新意。
笑点也很尴尬，很多地方你知道是笑点，但是并不好笑，看得尴尬症发作。
大BOSS买“克里斯托”是为了杀人于无形，可问题是，为了得到克里斯托他前前后后杀了很多人，而且还没有遭到警方通缉，没有任何人管他。
既然他杀了人不会有任何后果，又何必大费周章去买克里斯托、逼迫女主角把最高权限改成他？他直接用枪支弹药杀人不是更方便吗？"
OCT IO≯,看过,还行,2019-11-16 16:39:12,14,太套路了，打戏没灵魂，为了强行制造反转连基本逻辑都不要，关键提前泄了气(**前方剧透自动闪避**自编自导自演的大女主怎么可能是坏人嘛，否则怎么扛女权大旗……给一闪而过的老版彩蛋多加一星……
飞侠式拼搏,看过,较差,2019-11-15 00:00:45,172,"1.这不算什么真香娇娃，这是扑街娇娃吧。
2.老版两部最终反派都是出自“本方人员”，新版《霹雳娇娃》依旧延续着这一点。
3.动作戏勉勉强强，节奏偏慢。总体上没啥多大亮点，还给人很乱的感觉。
4.除了看看美女，听听歌，然后……然后就没啥了。
5.“迈克尔·基顿是蝙蝠侠，本·阿弗莱克是蝙蝠侠”。不不不“暮光女”小K，你前男友兼“吸血鬼”罗伯特·帕丁森才是。"
基瑞尔,看过,推荐,2019-11-15 19:57:08,10,今年有两位重要的商业片女导演亮相：Olivia Wilde之于自己的首秀《高材生》，还有一位是《完美音调》系列后努力进步的Elizabeth（明显与否先不讨论）。重启熟知IP的压力很大，但却在于当时事语境发生改变后，将旧有故事注入新的能量和注解—无论是有效的和没效的。有效在于一如既往用时装和热闹拼凑，组成了至少和《瞒天过海: 美人计》差不多的可看效果；而三位新的女主依然是非常具有个性的选择，尤其是Naomi Scott真的超级可爱。但无效在于片中充斥着浮于表面的女性主义讨论，却不及原版自然散发的“Girl Power”气息。不过片子好玩的彩蛋和客串真心太多了，还是希望Elizabeth继续加油啊。
Jules,看过,很差,2019-11-15 10:31:14,138,看了十分钟，查了一下导演和演员都是谁，撤了。一股儿童片的欢乐热闹撩骚味，音乐赶客级别的难听。
唐小万,看过,还行,2019-11-15 19:55:38,6,不算难看，Ella Balinska美
Smile铭_,看过,较差,2019-11-15 01:24:57,149,竟然是烂片气质……霹雳娇娃本来最大的魅力就是特工行动中讲女人的优势放到最大化，这部除了第一场戏的色诱有点霹雳的意思，其他的行动线其实换成男的也差不多，整体结构把握的不好，缺乏灵气的打斗只能看着更像b级片的气质
荔枝超人,看过,较差,2019-11-15 19:24:51,156,嘿，醒醒，姐姐们，这个世界上还是有少数智商超过80的男人的。
托尼·王大拿,看过,较差,2019-11-15 20:17:07,108,既然某些电影里可以把女性描写成胸大无脑的道具，那这部电影也可以把男性描写成胸不大也无脑的道具，Feminism和所有的-ism一样不过就是门生意么。另外某裹广告真硬，硌牙。
大武妇,看过,还行,2019-11-15 19:52:10,16,这个题材.....这个幕后........看到了第一波物料之后.....就已经没报什么希望了，ks还是去拍文艺片吧，这种烂商业片简直是在压榨你的光芒
谢谢你们的鱼,看过,较差,2019-11-15 21:14:21,24,真的很无聊，但是又稍微有一点点乐趣，应该是这些年到现在最没有底气的重启片了吧，4800玩得预算就是一个中低成本，演员搭配也毫无火花，平淡如水的叙事总觉得在看电视剧，其实有很多很值得展开的设定，最后还是陷入了山寨《碟中谍1》的怪圈当中，为反转而反转。整部电影文戏尚有一种尴尬的趣味但是动作戏则一塌糊涂，伊丽莎白班克斯拍拍《完美音调》挺好，整动作片真的是不灵光，很多场戏搞得像GUCCI或者LV广告也是够够的了。PS：纳奥米还是超美的，不过小K的角色明显让凯特·麦克金农演更合适。
哦豁完蛋！,看过,较差,2019-11-15 09:08:17,38,咱们是为了去听打雷姐唱歌哇！！！不如让《别叫我杨颖》的三姐妹——A妹、麦粒和雷女士来演？票房会爆(狗头)
水浒三国金刚,看过,较差,2019-11-15 14:32:10,23,查理的政治正确天使
木卫二,看过,较差,2019-11-15 22:22:30,27,比土味海报好一些，因为，她们居然会动
时间之葬,看过,推荐,2019-11-15 13:18:32,13,大概可以算本月最“好看”的电影，从演员、服饰到动作场景，各种意义上的养眼。在原版女性动作片的基础上，把原来汤森德事务所的世界观进行了升级和拓展，拍成了一部节奏紧凑悬念跌生的新式谍战片。同时还充分发挥了导演伊丽莎白·班克斯的喜剧天赋，各种高级梗和冷幽默溜得不行，全程轻松畅快。虽然不是女生，但我猜应该没有女生不喜欢看这种电影吧。
KK Green,看过,较差,2019-11-15 12:21:59,16,所有情节和人物动态都充斥着上世纪老梗，不纯粹不搞笑不刺激的不合格B级片，不值得去电影院看的肥皂剧，各种致敬怀旧只会让我更加知道刘玉玲、卡梅隆迪亚兹、德鲁巴里摩尔有多美多好，当年能大红不是没道理的。话说年轻演员演技差看来不只是国内现状，全球都一样，一股子我特别努力但就是入不了戏我能咋样的即视感。伊丽莎白班克斯还是编导一体，说真的大美女呀别为难自己和观众了不好么！
眠去,看过,还行,2019-11-16 15:43:26,9,轻松愉悦就够了，还指望看出什么深刻真理吗
Mathilda,看过,推荐,2019-11-17 16:59:35,9,🆘搅姬片我太可了，客串也好多，总之花里胡哨，深得我心🗣
安静疯-廖小本,看过,力荐,2019-11-15 22:26:48,36,其实感觉很好看啊。不知道分数为什么这么低，难道是男人打的分？整部电影就是怀疑怀疑怀疑……刺激
文森特九六,看过,很差,2019-11-15 20:36:23,112,蠢到令人作呕
坂口健大郎,看过,较差,2019-11-15 19:34:22,20,动作观光片的及格线都不到，资本只想恰女权钱，自以为什么都给了，但观众又不傻。。。
沙弥,看过,较差,2019-11-13 14:57:31,23,硬要挑亮点的话我觉得埃拉·巴林斯卡比小K更可
凹凸,看过,较差,2019-11-15 22:21:17,11,尽管大荧幕看瘫瘫的颜就已经值回票价 还是不能改变这是一部儿童片的事实
咆哮的小清新__,看过,较差,2019-11-13 22:43:19,14,"三位大美女的变装大秀+质量不错的原声带插曲+全球各大著名城市风光摄影+好莱坞流水线式剧情= 这部借了“霹雳娇娃”的IP，套了特工壳的美式小妞动作片。
砍掉了刘玉玲代表的亚裔角色，加入了黑人女星，给予的补偿是，放上有刘玉玲的前作旧照，以为哪边都不得罪，我只能说“Well,Nice try”～
音乐插曲成了掩饰影片节奏不行的存在。好听是好听但有几段插入的不是很合时宜。原本的三个娇娃也被设定成了2.5个，因为有一个成了从头到尾都不能打而只为了制造性格冲突笑点的Pretty Nerd设定。
关于“谁是反派”的小小反转也看得我有点想翻白眼，最骚的是看到最后才发现预告片里居然剪进了不少片尾彩蛋里的镜头，预告片有些正片没有的迷惑镜头不稀奇，但这个就真的骚了。两星半，原版6.8分的话，这版就5.5或者往下吧"
突然粉碎,看过,较差,2019-11-15 22:04:07,8,甜姐儿变铁T，怎么看都出戏…这不是霹雳娇娃，这是拳打老白男、脚踢草包老板的女战狼，我K为证明自己不是面瘫疯狂挤眉弄眼，心疼和emmm不知该说那句好…
岬,看过,还行,2019-11-19 17:33:52,6,Kristen Stewart 玩得痛快尽兴同时毫无节制地散发魅力。
小山生桂枝,看过,推荐,2019-11-15 21:13:41,7,全女班的大爽片，各种飒爽，看得人心旷神怡。我还看了imax，养眼。有一幕是女主角之一躺在地上，周围一圈男的围过来，我被吓到了，窒息的恐惧感。当然下一秒就安心了，因为不是只有一个她在战斗，姐姐妹妹站起来。片尾的镜头也很喜欢，女性力量的传递，这个部分有句台词特别好，但我没记住。以后网上能看了要再找找。
给艾德林的诗,看过,很差,2020-02-28 17:13:50,4,诚恳点吧。小K明显演不了逗比，又打戏捉急，娜奥米一脸公主相也只适合迪宝宝的年代戏，很多原来能被指责为消费女性特质的桥段，今日语境下俨然一股“我独立，我选择”的碑坊气息，至于情节基本原样copy老版，但侮辱观众智商的手段却更低劣了。衷心期待在正确时代潮流下，这种蹭口号的垃圾改编能早日被冲到历史的马桶里。
亵渎电影,看过,很差,2019-11-16 21:20:51,62,拍这种商业动作片已经完全超出了导演的能力，真的就是毫无才华的把摄影机对准了画面中在动的一切物体，这大概就是导演对于电影的理解吧。扛起政治正确的女权主义大旗同时，可以把特工动作片拍的既没有动作更没有酷炫，也是够厉害的。某种程度上，这就是老马说的那种主题乐园电影，从一开始就预设了女人胜利的结局，不管情节多么无逻辑不合理，女人打男人的动作戏拍的多么小儿科，你都知道姑娘们的身份设定就是这个重启新系列的一切。看完了就很想知道一件事，这种一无是处的垃圾拍出来到底有什么意义。
野冶也,看过,还行,2020-02-16 20:30:08,1,亏我当初那么期待
劉叔叔,看过,很差,2019-10-28 12:52:52,24,"克里斯汀·斯图尔特比杨颖都瘫的脸瞬间失去兴致，
娜奥米·斯科特很好，阿拉丁里俏皮可爱还漂亮"
瑾羲Qing,看过,力荐,2019-11-15 22:32:59,10,Charlie's Angels brought me back to life. Literally. 讲真，进影院前只剩半口气的我看完收获快乐愉悦和感动！！她们太棒了，谁不想活成她们的样子，自信强大独立可爱又美丽。有对前两部的致敬，又有新的东西，真棒！小K太可爱了吧。期待续集
糸色望,看过,还行,2019-11-15 02:12:08,7,IMAX首映场还是看得蛮爽，文戏再少点就好了
我爱罗宾,看过,推荐,2019-11-15 11:51:34,12,颜值太高了，各种换装赏心悦目，特工版维密秀
狮与羊,看过,较差,2019-11-15 16:29:05,7,烂梗实在太多。
aaadzy,看过,很差,2019-11-15 16:23:22,16,廉价女娃，屌丝女娃
寒狐传媒,看过,推荐,2020-02-23 08:13:10,1,3.5星。正大光明看美女，晚节不保X教授。
芦哲峰,看过,较差,2020-02-13 10:41:27,4,霹雳手段天使颜，干翻男权干翻天。
室内滂沱,看过,推荐,2019-11-15 19:19:39,2,扫了一眼第一波出来的短评，觉得给一部由女性导演拍的女性动作电影挑毛病不应该成为男人闲暇时的娱乐。get到这部电影的点只需要明确一处便可:“查理的天使”系列是不具有蒸汽朋克美术设计的蒸汽朋克电影，片中主要元素，包括贵族财阀研制危险的新技术、以擒拿搏斗和枪法准头定胜负的打戏、对解放身体局限的提倡、用角色夸张的类型化衣饰输出现代时尚概念，全部是蒸朋内容。透过新手视角进入秘密特工的高科技神秘领域并侧写片中最精彩的人物，手法与之前的《地狱男孩》《超凡绅士联盟》《王牌特工》如出一辙，这同样也十分蒸朋。所以片中的情理、逻辑、基调、人物举止、坏人露馅的转折，都是夸张化的。因此电影也没什么好黑的，轻松的感觉和制作商业电影的熟练化，都是《双子杀手》想要去找的好莱坞风格，不是爆米花，而是标准生产线。X教授演得挺逗
麥c臭魚,看过,较差,2019-11-15 22:06:41,5,也只能听听歌看看演员的颜，剧情实在是太平庸了，打戏也是没什么劲，忍不住看了好几次时间等结束
晚不安,看过,很差,2019-11-16 13:00:36,11,Totally CLICHE. 沉迷于IP重启的好莱坞，就像这群女人的fancy clothes一样泛着塑料的质感，最后崩塌的派对打戏还尝试用霓虹美学拉高格调。故事比审美更加垮塌，强行反转真是商业片剧作法的余毒——看来X教授退休之后也过得并不太好啊。当年的刘玉玲如今已经化身致命女人了，小K却一副姬圈名媛的模样边打女拳边扮幽默。一星给那句台词吧：“喜欢电影的人是不分年龄的。”
瓦力,看过,很差,2019-11-16 01:05:21,9,文戏烂是意料中的，没想到动作戏也一塌糊涂，毫无看点，绝对是今年最难以忍受的IMAX体验。PS：1.迈克尔基顿是蝙蝠侠，本阿弗莱克是蝙蝠侠，“傻逼娜”的前男友也是蝙蝠侠。2.寄快递，用裹裹。3.反二神似T-1000，可惜战斗力不太行。4.EMP成了好莱坞编剧的新宠，这个月从终结者一直玩到霹雳娇娃。
维纶吃牛蛙,看过,很差,2019-11-15 22:37:46,7,大型环球旅游及服装秀现场，笑点尴尬喜欢自嗨，动作戏全靠特写加剪辑。整个民宿都被炸开了锅，三位主角还能香喷喷带妆走出现场，兼任编剧和女配的导演不觉得尴尬吗？
嘟嘟熊之父,看过,较差,2019-11-16 21:27:47,9,看的时候一直在想小K啥时候跟其他Angel出柜啊，急死我了简直。
舒农,看过,很差,2019-11-15 19:01:51,7,唉，这届娇娃加一块可能都没有我娘，惭愧…
魔法炼金术士,看过,较差,2019-11-16 05:41:12,8,我的小K啊，虽然你搞笑演技也很好，咱还是不要接这种无脑的片子了。
雪女,看过,推荐,2019-11-17 01:15:54,6,小K和茉莉公主好配哦！！生动感受到了男女观影关注点的不同，小K脱鞋用脚挑逗澳洲男，后排男士激动的吸了一口气，而我的姐妹扭头说了一句“鞋子Valentino”🙂
唐顿庄园,看过,较差,2019-11-24 11:03:08,5,有了老版霹雳娇娃的衬托，新版显得尤为幼稚可笑过家家，小K的魅力是属于喜欢的人特别喜欢，不喜欢的get不到的人，比利林恩的中场战事中的小K很棒，这部片子里我get不到。
发条橙,看过,较差,2019-11-16 22:30:35,4,粗制滥造的流水线产品，也就看看美女了。
饮歌,看过,较差,2019-11-18 09:27:40,6,虽然的确不应该拿来跟老版做比较，但新的三个天使真的都太漂亮了，漂亮到只剩下漂亮了，完全没有各自的记忆点，中间数场戏甚至让我以为我在看《小时代》。还有就是被电影拍得过于明显的所谓“女权”，当某个东西一旦被过度讨论（或者说过度消费），那它就真的没劲了，总有一天会失去价值。
风间隼,看过,很差,2019-11-20 23:01:47,5,一个前所未有的，单凭性别就能判断好人坏人的商业电影编码时代终于降临了，各种“解放”、“自由”50多年后，电影文化真的变好了吗？不，它变得比它最卑劣的时代还要恶臭。
千大,看过,推荐,2019-11-14 13:17:17,9,周三提前放映场。两分爆米花片，剧情是真的烂，但是看美女打架多爽呀无脑再加两分，反正King’s man也能有四分的。顺便吐槽ks是本色出演么，太奶了……
恶猫的步调,看过,还行,2019-11-18 22:19:59,3,现在的间谍片啊，就是近未来科幻片代名词。
宅拾叁,看过,还行,2019-11-15 20:00:24,4,总体还算可以，就是。一个为了正义事业奋斗了四十年的老头，就是为了铺垫他退休后的黑化？？？？就算选个圣人反转一下都是好的吧。不过音乐不错，小k也算又一次美爆我了。
壹安²,看过,还行,2019-12-01 23:17:04,2,平淡无奇，茉莉公主和X教授也救不了。动作戏份和办公大楼追逐赛加分，相比满满都是记忆点的经典款，新款有点流水线作品了。“霹雳娇娃”一直以来是女性动作片的标志，如果继续拍，请让她闪耀。
[已注销],看过,较差,2019-11-16 21:26:10,7,笑死了，还不如小时代。郭敬明都能碾压的存在。
Dan.Z,看过,很差,2019-11-16 16:30:01,6,太尼玛难看了！这么烂的剧本！全片就是KS出来泡妹子又话痨的片！
zykmilan,看过,很差,2019-11-17 23:56:15,6,我的天呐，就算是知道了评价不好，已经严重放低了期待，但是这个水准仍然是刷新了我的认知水准了。本来想着冲着小K和茉莉公主的颜去看一下吧，结果发现靠颜也无法撑着看下去：文戏吧，随便一张口，台词都是令人震惊的作呕，充斥着自以为好笑但是整个电影院死寂的所谓笑点；武戏吧，到底是没钱请武指还是没钱请剪辑，剪得碎就算了，镜头之间根本不连着，作为一个主打动作的电影动作戏拍成这样，剧组自己良心过得去？而且，还号称新时代女性主义作品，可是都9102年了，真不是女的把男的全都打趴下就是girl power了……其实看完之后最大的感想：伊丽莎白·班克斯当导演一共就拍了这么几部，一部比一部烂，资方到底是哪来的勇气不断把这种大制作交给她的？
Enjolras,看过,还行,2019-11-17 02:29:09,3,我本就不太理解《霹雳娇娃》这个IP有什么必要重启？就像《古墓丽影》一样，这个系列当年也算不上是什么经典，仅仅是一个“给观众留下印象的过程”而已，现如今通通被掏出来，无非是想迎合女权的浪潮再圈一波钱罢了。当影片无论从故事还是动作戏来看，都仅仅是花架子的时候，其试图彰显的女权色彩就更显得浅薄和跟风了，事实上女权本就不应该仅仅停留在“好看”的层面，而应该是去诠释“如何活得好看”，希望明年的《猛禽小队和哈莉·奎茵》不要也是这样草草交差了。
深夜声噎,看过,推荐,2019-11-16 14:29:10,4,比王牌特工好睇多了
KD6-3.7,看过,较差,2019-11-16 00:29:20,2,真的不好看，也就是Naomi太美太萌了；全片也就最后五分钟的彩蛋好看，Hailee居然去客串了……我还以为我瞎了…造型还挺萌的
kylegun,看过,较差,2019-11-22 00:15:54,0,He got the point. Michael Keaton是Birdman还是Batman？能拍出Pitch Perfect一嘴烂gag的Elizabeth Banks为什么会把翻拍整得那么无聊？妹子都还算可爱就是了
Lucifer,看过,较差,2020-02-28 21:58:00,0,wtf？一无是处！不对，还是有的，印度美女
库库尔坎,看过,还行,2019-11-17 09:58:03,7,新版怎么能拍得这么无聊，分镜和远镜头困死个人。监督是拍广告的吧。好吧，监督是伊丽莎白自己，我说的呢……
喜儿喂鸭正经地,看过,很差,2020-02-14 06:08:50,3,真的太烂了，好的我懂里面有很多时装的植入广告，但为什么都是好几年前的爆款植入啊？？？？
憨大仁,看过,较差,2019-11-18 18:47:55,3,这种程度有必要翻拍嘛？
爆米花教主,看过,较差,2020-02-14 18:49:10,1,居然把这么一个拥有无限可能的IP拍得这么乏味，还不如一点都不养眼的《女间谍》
Mr. Infamous,看过,还行,2020-02-02 23:38:01,1,好久没看电影了，飞机上有，就从去年的遗憾补起，正好需要些有活力的商业片。这个相对无脑的系列，花拳绣腿再加美妆丽服，只要喜欢几个女主，总有些小乐趣。比起老版，少了些过假的动作场面，也少了些高甜度的女性情谊与男女情爱，没办法，全片好男人只有两个。男人太惨了。
saturdaylou,看过,力荐,2019-11-15 21:55:09,7,太刺姬了！瘫哥喜剧天赋觉醒之作！
弥赛亚代言人,看过,很差,2019-11-16 23:46:53,7,开篇一段莫名其妙仿佛女拳宣传片的各类女性工作剪影，已然宣告了这就一蹭热度的投机商业片，要命的是电影连投机都那么low，不是把所有男性角色统一塑造成智商80力量负数就能突显出女主们的飒爽英姿的，这拍法跟天朝的抗日神剧有特么什么区别！即便抛开设定，片子凌乱无力的动作戏加上永远强行插入的文戏也看得人昏昏欲睡，为这玩意儿花了五十大洋，我忏悔！！！
Danys ┇┇ 蓄须专用,看过,较差,2019-11-29 22:20:41,5,真俗烂啊，对比之下才觉得老版娇娃真挺不错的！[挤眼]女导演班克斯这拍的啥啊，只要有人物在镜头里就可以了吧？自己倒正好近水楼台演个女boss，也是没啥亮点。典型卖女权的爆米花片，还卖得很不聪明。x教授算能圈粉吧，但三女完全不能，花拳绣腿得太过太假了，尤其黑超模1米9，胳膊腿都细得一嗑就碎，还假迷三道地和壮汉肉搏？把观众当傻子呢。剧情的强行反转也比较尬。看完只想重温下老版，然后这版票房扑街、别再拍续集[弱]
蝠蝠,看过,还行,2019-11-18 23:53:22,4,"有几处想象不到且非常的有趣的地方，其中最搞笑的是她们在讨论各自年代的蝙蝠侠主演时，直接让我奶茶都呛出来了。
总之是一部即使你因为喝太多水而跑了三趟厕所后每次回来继续观看也丝毫不影响剧情衔接的电影，更何况还有好听到爆的音乐来让你颅内高潮呢。"
卿启玮,看过,还行,2019-11-16 18:03:06,2,"经典重启的诸多的IP里面比较有想法的一部，非常明确《霹雳娇娃》的主要受众就是女性，所有的剧情都为了市场靶向改编
——★以下有剧透★——





查理的天使这个title太物化女性？好！改！查理就改成女性！
金发碧眼单一过时的审美？fuck it！改！天使私下留短发！
天使只能喜欢异性？no way！改！一条天使的感情暗线改成les，一位天使教官邀请transgender！"
武侠小王子,看过,还行,2019-11-17 20:00:24,5,价值观如此浅显，真不值得拍成一部电影。
方枪枪,看过,还行,2020-02-14 21:01:59,1,乱花渐欲迷人眼
淋,看过,还行,2020-02-14 19:08:46,1,吴育刚演技好差啊
JoeyLu陆柏宇,看过,推荐,2019-11-16 00:03:12,1,没有辜负期待，更不辜负前两部，是童年的味道
爱尔兰的天空,看过,还行,2019-11-15 20:07:38,2,爆米花影片，随便看看就好，实话实说，这个类型的电影在中国越来越不吃香了，最后语音转换那段是不是留了一个悬念，给下一部铺垫的？
桃子,看过,推荐,2019-11-18 01:46:22,0,评分低只是因为实在得罪了男性观众吧？说实在的，“女性崛起”的议题的确太容易过犹不及。其实，作为类型片来说，质量非常合格。剧情的细节也足：SM、绞石机争斗隐喻男女关系，天使头儿的代际问题，查理的真面目，和资本对科技的邪恶影响。（重复地提蝙蝠侠，真是让人不得不想到那该死的Batwoman呀……如果小K能演多好！！！） 爱小K！！！片子若没有她，索然无味。连阿拉丁公主都救不了。（IMAX）
Dragmedown,看过,2019-11-18 22:05:07, ,2,w/liane 换了一个地方p图～ 今年的最强打女应该是终结者里的麦肯兹了8⃣️ “万磁王站起来了，难道是喝了蚁力神？” 我说错了其实是x教授hhhh
铎奇,看过,还行,2019-11-16 12:07:46,1,全程都是我可以我可以我可以我可以我可以，一激动就抓女朋友手。我：KStew果然不愧是KStew，具体我就不展开讲了。女朋友：为什么不展开讲讲？我：讲了你就要打我了。🥺
vivi,看过,还行,2020-02-20 09:52:15,0,鬼脸还算可爱
Lonely,看过,还行,2020-02-21 09:26:28,0,5.0/10 分。初看，AMZN版。除了妹子的颜值和身材，基本上是毫无亮点。。。打斗真心烂，全靠快速剪辑，软绵绵的毫无力道。。。女导演，还是向狂轰烂炸贝贝佳的《鬼影特攻：以暴制暴》学习下吧，人家的快速剪辑才是正版。。。
